Name,Unit price
40 ft ZONE 2,"$5,362.00"
40 ft ZONE 1,"$5,362.00"
Interior Drywall  40',"$7,485.00"
3/4 Bathroom,"$5,496.00"
72 in x 80 in Sliding Glass Patio Door,"$2,124.00"
2 ft x 2 ft Window (Picture),"$1,231.00"
72 in Kitchen Cabinet with Butcher Counter Top,"$3,833.00"
Electrical - 40' Home,"$5,940.00"
Framing | 40' | Wood,"$6,900.00"
40 ft New High Cube Container ,"$6,807.00"
General and Administrative Fees,"$2,500.00"
20 ft Deluxe Container Restroom ,"$81,923.00"
20 ft Container Restroom - ADA,"$55,627.00"
20 ft Container Restroom ,"$49,415.00"
Feasibility Study (HI) - Residential ,"$1,500.00"
Feasibility Study (HI) - Commercial ,"$3,000.00"
Permitting Services - Mississippi,"$9,500.00"
Feasibility Study (NY) - Commercial,"$3,000.00"
Feasibility Study (NY) - Residential,"$1,500.00"
Feasibility Study (CA) - Commercial ,"$3,000.00"
Feasibility Study (CA) - Residential ,"$1,500.00"
Feasibility Study - Commercial ,"$1,700.00"
Feasibility Study - Residential ,$950.00
Permitting Services - Washington ,"$22,000.00"
Permitting Services - Oregon,"$22,000.00"
Permitting Services - California ,"$22,000.00"
Permitting Services - Arkansas,"$9,500.00"
Permitting Services - Louisiana ,"$9,500.00"
Permitting Services - Florida ,"$9,500.00"
Permitting Services - Alabama,"$9,500.00"
Permitting Services - Tennessee,"$9,500.00"
Permitting Services - Kentucky ,"$9,500.00"
Permitting Services - West Virginia,"$9,500.00"
Permitting Services - Virginia,"$9,500.00"
Permitting Services - Georgia,"$9,500.00"
Permitting Services - Texas,"$8,500.00"
Permitting Services - Oklahoma,"$8,500.00"
Permitting Services - Arizona ,"$8,500.00"
Permitting Services - New Mexico ,"$8,500.00"
Permitting Services - Wyoming,"$19,000.00"
Permitting Services - Idaho,"$19,000.00"
Permitting Services - Montana,"$19,000.00"
Permitting Services - Utah ,"$19,000.00"
Permitting Services - Nevada,"$19,000.00"
Permitting Services - Colorado,"$19,000.00"
Permitting Services - South Dakota,"$12,000.00"
Permitting Services - North Dakota,"$12,000.00"
Permitting Services - Nebraska,"$12,000.00"
Permitting Services - Kansas,"$12,000.00"
Permitting Services - Iowa,"$12,000.00"
Permitting Services - Indiana ,"$12,000.00"
Permitting Services - Ohio ,"$12,000.00"
Permitting Services - Illinois,"$12,000.00"
Permitting Services - Wisconsin,"$12,000.00"
Permitting Services - Minnesota,"$12,000.00"
Permitting Services - Missouri,"$19,000.00"
Permitting Services - Michigan ,"$19,000.00"
Permitting Services - South Carolina,"$19,000.00"
Permitting Services - North Carolina,"$19,000.00"
Permitting Services - Maryland,"$19,000.00"
Permitting Services - Delaware,"$19,000.00"
Permitting Services - New York ,"$19,000.00"
Permitting Services - New Jersey,"$19,000.00"
Permitting Services - Maine,"$19,000.00"
Permitting Services - New Hampshire,"$19,000.00"
Permitting Services - Connecticut ,"$19,000.00"
Permitting Services - Rhode Island,"$19,000.00"
Permitting Services - Massachusetts,"$19,000.00"
